,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,842,No,2.2,No,1,No,7.0,0.6,188,2,2,20,756,2549.0,9,7.0,19,No,No,Yes,1
1,1021,Yes,0.5,Yes,0,Yes,53.0,0.7,136,3,6,905,1988,2631.0,17,3.0,7,Yes,Yes,No,2
2,563,Yes,0.5,Yes,2,Yes,41.0,0.9,145,5,6,1263,1716,2603.0,11,2.0,9,Yes,Yes,No,2
3,615,Yes,2.5,No,0,No,10.0,0.8,131,6,9,1216,1786,2769.0,16,8.0,11,Yes,No,No,2
4,1821,Yes,1.2,No,13,Yes,,0.6,141,2,14,1208,1212,1411.0,8,2.0,15,Yes,Yes,No,1
5,1859,No,0.5,Yes,3,No,22.0,0.7,164,1,7,1004,1654,1067.0,17,1.0,10,Yes,No,No,1
6,1821,No,1.7,No,4,Yes,10.0,0.8,139,8,10,381,1018,3220.0,13,8.0,18,Yes,No,Yes,3
7,1954,No,0.5,Yes,0,No,,0.8,187,4,0,512,1149,700.0,16,3.0,5,Yes,Yes,Yes,0
8,1445,Yes,0.5,No,0,No,53.0,0.7,174,7,14,386,836,1099.0,17,1.0,20,Yes,No,No,0
9,509,Yes,0.6,Yes,2,Yes,9.0,0.1,93,5,15,1137,1224,513.0,19,10.0,12,Yes,No,No,0
10,769,Yes,2.9,Yes,0,No,9.0,0.1,182,5,1,248,874,3946.0,5,2.0,7,No,No,No,3
11,1520,Yes,2.2,No,5,Yes,33.0,0.5,177,8,18,151,1005,3826.0,14,9.0,13,Yes,Yes,Yes,3
12,1815,No,2.8,No,2,No,33.0,0.6,159,4,17,607,748,1482.0,18,0.0,2,Yes,No,No,1
13,803,Yes,2.1,No,7,No,17.0,1.0,198,4,11,344,1440,2680.0,7,1.0,4,Yes,No,Yes,2
14,1866,No,0.5,No,13,Yes,52.0,0.7,185,1,17,356,563,,14,9.0,3,Yes,No,Yes,0
15,775,No,1.0,No,3,No,46.0,0.7,159,2,16,862,1864,568.0,17,15.0,11,Yes,Yes,Yes,0
16,838,No,0.5,No,1,Yes,13.0,0.1,196,8,4,984,1850,3554.0,10,9.0,19,Yes,No,Yes,3
17,595,No,0.9,Yes,7,Yes,23.0,0.1,121,3,17,441,810,3752.0,10,2.0,18,Yes,,No,3
18,1131,Yes,0.5,Yes,11,No,49.0,0.6,101,5,18,658,878,1835.0,19,13.0,16,Yes,Yes,No,1
19,682,Yes,0.5,No,4,No,19.0,1.0,121,4,11,902,1064,2337.0,11,1.0,18,No,Yes,Yes,1
20,772,No,1.1,Yes,12,No,39.0,0.8,81,7,14,1314,1854,2819.0,17,15.0,3,Yes,Yes,No,3
21,1709,Yes,2.1,No,1,No,13.0,1.0,156,2,2,974,1385,,17,1.0,15,Yes,No,No,3
22,1949,No,2.6,Yes,4,No,47.0,0.3,199,4,7,407,822,1433.0,11,5.0,20,No,No,Yes,1
23,1602,Yes,2.8,Yes,4,Yes,38.0,0.7,114,3,20,466,788,1037.0,8,7.0,20,Yes,No,No,0
24,503,No,1.2,Yes,5,Yes,8.0,0.4,111,3,13,201,1245,,11,0.0,12,Yes,No,No,1
25,961,Yes,1.4,Yes,0,Yes,57.0,0.6,114,8,3,291,1434,2782.0,18,9.0,7,Yes,Yes,Yes,2
26,519,Yes,1.6,Yes,7,Yes,51.0,0.3,132,4,19,550,645,3763.0,16,1.0,4,Yes,No,Yes,3
27,956,No,0.5,No,1,Yes,41.0,1.0,143,7,6,511,1075,3286.0,17,8.0,12,Yes,Yes,No,3
28,1453,No,1.6,Yes,12,Yes,52.0,0.3,96,2,18,187,1311,2373.0,10,1.0,10,Yes,Yes,Yes,2
29,851,No,0.5,No,3,No,21.0,0.4,200,5,7,1171,1263,478.0,12,7.0,10,Yes,No,Yes,0
30,1579,Yes,0.5,Yes,0,No,5.0,0.2,88,7,9,1358,1739,3532.0,17,11.0,12,No,No,Yes,3
31,1568,Yes,0.5,No,16,No,33.0,1.0,150,8,20,413,654,508.0,5,1.0,6,Yes,Yes,Yes,0
32,1319,Yes,0.9,No,3,Yes,41.0,0.9,107,1,18,85,1152,2227.0,18,5.0,3,Yes,Yes,Yes,1
33,1310,Yes,2.2,Yes,0,Yes,51.0,0.6,100,4,0,178,1919,3845.0,7,0.0,12,Yes,Yes,No,3
34,644,Yes,2.7,No,0,No,22.0,0.7,157,8,3,311,881,1262.0,12,1.0,15,Yes,No,No,0
35,725,No,1.3,Yes,16,No,60.0,0.4,160,8,17,1134,1249,1326.0,10,4.0,15,Yes,No,No,1
36,589,Yes,2.3,Yes,1,No,61.0,0.6,160,4,10,429,815,2113.0,13,7.0,2,Yes,No,Yes,1
37,1725,Yes,1.6,Yes,6,Yes,6.0,0.5,119,2,18,609,1307,3429.0,6,5.0,4,Yes,Yes,No,3
38,790,No,2.0,Yes,16,Yes,11.0,0.3,87,6,17,347,730,3169.0,6,1.0,2,Yes,No,Yes,2
39,560,No,0.5,Yes,15,No,50.0,0.3,159,2,20,1448,1613,2150.0,18,12.0,11,Yes,Yes,No,2
40,1347,No,2.9,No,5,No,44.0,0.6,132,1,14,434,967,2484.0,18,2.0,11,Yes,No,Yes,2
41,1646,Yes,2.3,No,8,Yes,41.0,0.2,185,2,10,1725,1932,3339.0,18,10.0,19,Yes,Yes,No,3
